source_file,chunk_id,text
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00000,"Residential tenancy agreement | 19 May 2025 Page 1 of 18
525091_0066TF
NSW Fair Trading
Standard form from 19 May 2025
Residential tenancy agreement
Residential Tenancies Regulation 2019 Schedule 1 Standard Form Agreement (Clause 4(1))
IMPORTANT INFORMATION
Please read this before completing the residential tenancy agreement (the Agreement). 1. This form is your written record of your tenancy agreement. This is a binding contract under the Residential
Tenancies Act 2010, so please read all terms and conditions carefully."
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00001,"2. If you need advice or information on your rights and responsibilities, please call NSW Fair Trading on 13 32 20
or visit nsw.gov.au/fair-trading before signing the Agreement. 3. If you require extra space to list additional items and terms, attach a separate sheet."
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00002,"All attachments should
be signed and dated by both the landlord or the landlord’s agent and the tenant to show that both parties have
read and agree to the attachments. 4. The landlord or the landlord’s agent must give the tenant a copy of the signed Agreement and any attachments,
two copies or one electronic copy of the completed condition report and a copy of the Tenant Information
Statement published by NSW Fair Trading. THIS AGREEMENT WAS MADE ON AT
BETWEEN
Landlord Name (1):
Landlord Name (2):
Landlord telephone number and other contact details:
If not in NSW, the State, Territory or country (if not Australia) the landlord ordinarily resides in:
Note: The above information must be provided for landlord(s), whether or not there is a landlord’s agent."
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00003,"Address for service of notices (can be an agent’s address):
Suburb: State: Postcode:
Note: The landlord(s) business address or residential address must be provided for landlord(s) if there is
no landlord’s agent. Tenant Name (1):
Tenant Name (2):
Tenant Name (3):
All other tenants here:
525091_0066TF
Address for service of notices (if different to address of residential premises):
Suburb: State: Postcode:
Contact details:
Landlord’s agent details: (If applicable)
Agent name:
Business address for service of notices:
Suburb: State: Postcode:
Contact details: (This must include a telephone number)
Tenant’s agent details: (If applicable)
Agent name:
Business address for service of notices:
Suburb: State: Postcode:
Contact details:
Term of agreement:
6 months 12 months 2 years 3 years 5 years
Other (please specify): Periodic (no end date)
starting on and ending on (Cross out if not applicable) dd/mm/yyyy
Note: For a residential tenancy agreement having a fixed term of more than 3 years, the agreement must be annexed to
the form approved by the Registrar-General for registration under the Real Property Act 1900. Residential premises:
The residential premises are (Insert address):
The residential premises include:
(Insert any inclusions, for example a parking space or furniture provided. Attach additional pages if necessary.)"
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00004,"Residential tenancy agreement | 19 May 2025 Page 2 of 18
525091_0066TF
Rent:
The rent is $:
Rent must be paid per:
week fortnight Other (Insert description of payment frequency):
Day rent must be paid: Date first rent payment is due: dd/mm/yyyy
Note: The landlord, or landlord’s agent, must not require a tenant to pay more than 2 weeks rent in advance under this
agreement. Rent must be paid by:
approved electronic bank transfer (such as direct debit, bank transfer or BPAY)
Centrepay
Other
Note: The landlord, or landlord’s agent, must offer the tenant the ability to pay rent by an approved electronic bank
transfer method. The electronic bank transfer method must be free of charge to the tenant, other than charges
ordinarily imposed by the tenant’s bank. From a date notified in the Gazette by the Minister for Better Regulation and
Fair Trading, the landlord, or landlord’s agent, must also offer the tenant the ability to pay rent by Centrepay."
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00005,"The landlord and the tenant may agree on a different payment method. The landlord must not require the tenant to use
a specific service provider to pay rent. Details of payment method:
Note: The landlord, or landlord’s agent, must not charge a fee, or pass on a cost incurred by the landlord or landlord’s
agent, for the payment of rent by an approved electronic bank transfer method or by Centrepay. Rental Bond
(Cross out if there is not going to be a bond):
A rental bond of $: must be paid by the tenant on signing this agreement."
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00006,"The amount of the
rental bond must not be more than 4 weeks rent. The tenant provided the rental bond amount to:
the landlord or another person, or
the landlord’s agent, or
NSW Fair Trading through Rental Bond Online. Note: All rental bonds must be lodged with NSW Fair Trading. If the bond is paid to the landlord or another person, it
must be deposited within 10 working days after it is paid using the Fair Trading approved form."
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00007,"If the bond is paid to the
landlord’s agent, it must be deposited within 10 working days after the end of the month in which it is paid. Residential tenancy agreement | 19 May 2025 Page 3 of 18
525091_0066TF
Important Information
Maximum number of occupants
No more than persons may ordinarily live in the premises at any one time. Urgent repairs
Nominated tradespeople for urgent repairs
Electrical repairs: Telephone:
Plumbing repairs: Telephone:
Other repairs: Telephone:
Water usage
Will the tenant be required to pay separately for water usage? Yes No
If yes, see clauses 12 and 13."
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00008,"Utilities
Is electricity supplied to the premises from an embedded network? Yes No
Is gas supplied to the premises from an embedded network? Yes No
For more information on consumer rights if electricity or gas is supplied from an embedded network contact NSW
Fair Trading. Smoke alarms
Indicate whether the smoke alarms installed in the residential premises are hardwired or battery operated:
Hardwired smoke alarms
Battery operated smoke alarms
If the smoke alarms are battery operated, are the batteries in the smoke alarms of a kind the tenant can replace?"
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00009,"Yes No
If yes, specify the type of battery that needs to be used if the battery in the smoke alarm needs to be replaced:
If the smoke alarms are hardwired, are the back-up batteries in the smoke alarms of a kind the tenant can replace? Yes No
If yes, specify the type of back-up battery that needs to be used if the back-up battery in the smoke alarm needs to
be replaced:
If the Strata Schemes Management Act 2015 applies to the residential premises, is the owners corporation of the
strata scheme responsible for the repair and replacement of smoke alarms in the residential premises? Yes No
Residential tenancy agreement | 19 May 2025 Page 4 of 18
525091_0066TF
Strata by-laws
Are there any strata or community scheme by-laws applicable to the residential premises? Yes No
If yes, see clauses 38 and 39."
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00010,"Giving notices and other documents electronically (Cross out if not applicable)
Indicate below for each person whether the person provides express consent to any notice and any other document
under section 223 of the Residential Tenancies Act 2010 being given or served on them by email. The Electronic
Transactions Act 2000 applies to notices and other documents you send or receive electronically. Note: You should only consent to electronic service if you check your emails regularly. If there is more than one tenant
on the agreement, all tenants should agree on a single email address for electronic service."
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00011,"This will help ensure co-
tenants receive notices and other documents at the same time. Landlord
Does the landlord give express consent to the electronic service of notices and documents? Yes No
If yes, see clause 50. (Specify email address to be used for the purpose of serving notices and documents.)"
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00012,"Tenant
Does the tenant give express consent to the electronic service of notices and documents? Yes No
If yes, see clause 50. (Specify email address to be used for the purpose of serving notices and documents.) Condition report
A condition report relating to the condition of the premises must be completed by or on behalf of the landlord
before or when this agreement is given to the tenant for signing."
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00013,"Tenancy laws
The Residential Tenancies Act 2010 and the Residential Tenancies Regulation 2019 apply to this agreement. Both
the landlord and the tenant must comply with these laws. Residential tenancy agreement | 19 May 2025 Page 5 of 18
525091_0066TF
The Agreement 4.6 to accept payment on unpaid rent after the
landlord has given a termination notice on the
ground of failure to pay rent if the tenant has
RIGHT TO OCCUPY THE PREMISES
not vacated the residential premises, and
1. The landlord agrees that the tenant has the right 4.7 to not use rent paid by the tenant for the
to occupy the residential premises during the purpose of any amount payable by the tenant
tenancy."
nsw_tenancy_agreement.pdf,nsw_tenancy_agreement.pdf__00014,"The residential premises include the other than rent, and
additional things (if any) noted under ‘Residential 4.8 if rent is paid by cheque – to make a rent
premises’ on page 2 of this agreement. receipt available for collection by the tenant,
to post it to the residential premises or to
COPY OF AGREEMENT send it by email to an email address specified
in this agreement by the tenant for the
2. The landlord agrees to give the tenant: service of documents of that kind, and
2.1 a copy of this agreement before or when the 4.9 if rent is not paid by cheque and is paid in
tenant gives the signed copy of the agreement person – to give a rent receipt to the tenant, and
to the landlord or landlord’s agent, and
4.10 to keep a record of rent paid under this
2.2 a copy of this agreement signed by both agreement and to provide a written statement
the landlord and the tenant as soon as is showing the rent record for a specified
reasonably practicable. period within 7 days of a request by tenant,
unless the landlord has previously provided a
RENT statement for the same period."
